dose,rep,12692543,12692555,12690527,12432815,12692547,12665563,12769961,12769963,12771723,6605,6665,139324,651869,654755,12321045,12763099,12721871,669329,12640095,12771723,12778693,12771019,12771021,12718827,12775311,659292,12771021,156054
0,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
0.1,1,103.8494,91.6087,95.4661,116.969,90,92.8658,125.5731,115.9304,92.6834,87.1571134239809,87.9711695931525,92.9905456185058,99.1883165468492,65.9965440701481,83.0828383100404,77.7550167334475,86.0406765368961,79.5945191131556,95.0348732413574,74.0639980795555,74.8278028199282,73.0439873147056,89.0102456458183,64.6224319187197,97.4459168173469,95.6085708099879,99.6669768223468,108.106043563637
0.1,2,89.9237,100.6159,99.1947,106.9596,90.83,102.6893,75.3504,90.2451,110.2159,98.9053265533421,92.6885630619879,51.2367872254091,80.1665086075979,81.4309235897566,112.368657064413,73.6232530844676,83.1608674834015,83.2085688432871,89,67.7955831258499,74.3393463671428,85.7624250687035,94.6695442973934,70.4053447512293,83.1350501165025,101.070492627025,96.6185173176145,100.073774749347
0.1,3,100.4469,102.7458,95.7052,100.5726,84.41,92.9032,103.5794,111.8967,86.7103,105.543166704019,97.1681477562564,96.9268196843376,58.7827346666231,65.5578868003383,90.6063906559235,80.1465491023867,105.272963839557,80.8303547127814,84.1259782187511,88.3044543073926,100.186450318602,81.8490699584162,73.7033788753912,136.795499094255,101.750095677117,87.8446721743134,111.525583278629,89.1087201714818
1,1,92.4567,93.718,92.463,98.6041,67.492,94.4059,112.9865,112.9718,58.4431,77.1772759733042,80.5936971580897,71.4973658976645,104.706546820773,69.4737053547706,71.8073779241787,70.4015563501423,92.0484093307677,57.0249602654965,76.6335439982313,92.7936120196605,56.8875688344233,66.865551612483,56.8041376220094,68.0488655993025,78.8675778652577,86.3410021200052,87.7379106181203,75.688166402512
1,2,91.944,100.1148,99.4132,93.7082,82.57,93.8453,80.8896,80.7638,86.1905,95.0954292613346,76.8153359752554,72.6073645916199,90.1579282084329,74.243895958914,99.4328013057653,85.5810864006957,98.4708928033863,52.3068044171637,78.7500403500796,59.5106931290379,66.2985013987878,75.2963493779666,74.7856079015443,78.2913837837838,66.7479083581494,94.5732016593299,92.7369009167709,72.4845050803252
1,3,102.5874,104.1955,96.0461,80.4877,68.78,75.7474,87.2166,72.6947,77.4191,98.1645935774332,90.272601555409,83.8236770918222,51.1584491582236,67.5571017701302,88.0168450017842,82.5597418215813,109.81927938852,47.8663765403944,85.4824137766362,69.6929373016304,82.7768547312242,67.6117056018033,68.0582918891299,79.0773049071408,80.5555851676631,84.5187628417797,93.9343376759615,86.7112848761423
10,1,95.3161,91.7041,82.4855,150.387,64.54153,89.7845,97.4554,95.0092,28.1452,66.9710970276708,57.3385384802975,90.4716322420062,106.119101078884,51.7590398046548,82.1939285853617,72.3836917811235,95.9200132346251,18.4426988108784,79.8767829181591,43.3080132265778,42.1507222740901,65.0206394529733,57.5080195189685,60.2718256902698,57.8640256611858,60.2617757413818,85.8078274112584,44.5656721767617
10,2,117.8443,95.7368,95.7521,82.2264,81.19,87.6785,90,97.5594,40.2453,93.2103460465286,75.2909813367618,76.3430011685814,77.4532105654805,58.7712369164299,93.0089686101082,97.5712028537333,95.425457790814,22.573148284051,79.108747859671,30.1336552856814,46.3967502851453,72.632414843598,48.8350224164563,85.0546108108108,53.826919921784,66.313126809294,84.3115842247407,42.6741727954426
10,3,100.1577,101.1956,94.2773,109.5148,55.79,80.6494,102.1233,81.0228,40.3726,86.9951316349296,89.4578966699794,85.8498441352771,80.4112673950765,49.1220651377403,98.5467586807126,86.2042769988034,106.790934332281,19.7413294517622,79.5067911091719,37.2075502517954,61.7194057026304,53.68600417,50.18254545138,62.2428182062984,58.7077741960632,51.1146403995192,98.8298967916114,54.8158944030936
100,1,63.5114,85.4909,81.8165,102.1964,55.31755,53.6109,102.3076,55.7535,5.2769,61.6727899562023,55.3210312890826,84.5771380999111,77.2777538776335,48.3201079033748,82.8013549636143,61.9973212495763,93.9236170516005,10.2471792098643,67.3360913528571,37.8616420818239,23.7419406255503,51.3444968600417,40.1626082516976,43.0316237664305,23.7168889549875,18.9205679056456,79.1086807280469,19.822146348024
100,2,65.4868,84.2511,91.6133,76.6383,70.91,59.7438,77.4176,55.4155,10.8208,76.4968695236622,62.3083496939847,56.1273003544235,54.0814008206403,53.0087379915294,89.8304667268533,81.4319022406865,82.1328488772778,10.5439737278693,68.2688853301476,21.0757164734415,26.4474956930588,49.4937452098449,52.1092351494341,43.7145243243243,24.788042545666,22.0514960419786,80.6699961876784,21.0130222673251
100,3,62.688,89.4135,88.3311,125.3026,50.91,68.177,103.9343,50,13.8933,81.7014119215322,66.2502508742868,104.742873943246,66.0861167152665,42.1938629275132,68.7551242294375,95.6969688560658,105.240930720959,10.3310909003403,64.1626695346803,28.7158410313475,36.0820614050582,42.7763193751398,33.5032491697533,32.5799873408301,30.9829201830029,19.6230645716556,88.3074034405221,30.3622510265157
1000,1,52.7811,44.3482,71.6443,56.2408,58.51329,34.5223,62.2136,25.0792,1.5965,44.0407550771634,10.1362225149353,67.2157723066778,20.4919976130695,3.16253914170273,18.4867003157429,22.3792776309209,18.7730092199039,0.844888786056365,44.8642722036833,5.47027243804285,8.67470508264741,31.9733625686067,27.8123163963367,2.25671839158791,1.27325080554897,2.30610366713107,43.052062379512,3.81919673076857
1000,2,40.8237,45.6091,82.6653,58.3782,36.37,20.5738,60.6324,20.8525,2.0193,63.5617214305858,48.0139915144961,47.7195166264275,15.550313370419,5.09313409199092,21.5825989053264,15.1488174433892,19.7951193031057,0.646098537271445,48.9769495707315,2.50154099293413,1.84987400193572,23.157913554425,21.1224697391295,1.59098378378378,2.19504977666975,2.58823102961614,49.3355619592267,3.35519247383438
1000,3,26.3167,52.1597,54.7664,96.1623,32.42,16.2204,88.8185,21.4768,2.0878,60.0580487835073,12.6015162369525,58.4258975124277,12.3685596945887,3.97945366980443,19.8897515219039,24.0361527785642,22.4029648257259,0.748716104270192,53.4351283026217,2.71332295555021,7.38304550442321,24.8437026573749,19.2810477429913,3.85149353181123,2.79499353332473,2.23275527384903,53.4007336784726,2.47521146948478
